participant_id,run_id,recorded_at,confirmationCode,question_id,value,total_rt,valid,trial_index,trial_type,ip,user_agent
ab907ef5e005,100,30/08/2025 13:08,1VPMCWEX,gender,Female,1042486.0,,1,survey-multi-choice,172.58.3.54,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
ab907ef5e005,100,30/08/2025 13:08,1VPMCWEX,age,34,1042486.0,,2,survey-text,172.58.3.54,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
ab907ef5e005,100,30/08/2025 13:08,1VPMCWEX,SDS1,Agree Strongly,1042486.0,,4,survey-multi-choice,172.58.3.54,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
ab907ef5e005,100,30/08/2025 13:08,1VPMCWEX,1E,Disagree Strongly,1042486.0,,4,survey-multi-choice,172.58.3.54,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
ab907ef5e005,100,30/08/2025 13:08,1VPMCWEX,sd3m1,Agree Strongly,1042486.0,,4,survey-multi-choice,172.58.3.54,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
ab907ef5e005,100,30/08/2025 13:08,1VPMCWEX,2A,Agree Strongly,1042486.0,,4,survey-multi-choice,172.58.3.54,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
ab907ef5e005,100,30/08/2025 13:08,1VPMCWEX,3C,Agree,1042486.0,,4,survey-multi-choice,172.58.3.54,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
ab907ef5e005,100,30/08/2025 13:08,1VPMCWEX,SDS2,Agree,1042486.0,,4,survey-multi-choice,172.58.3.54,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
ab907ef5e005,100,30/08/2025 13:08,1VPMCWEX,sd3n1,Neither Agree nor Disagree,1042486.0,,4,survey-multi-choice,172.58.3.54,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
ab907ef5e005,100,30/08/2025 13:08,1VPMCWEX,sd3p1,Disagree Strongly,1042486.0,,4,survey-multi-choice,172.58.3.54,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
